mean_pred_strict,frac_pos_strict,mean_pred_leaky,frac_pos_leaky
0.08227964183562339,0.059602649006622516,0.07853994858009539,0.08943089430894309
0.15860338961315054,0.13543737574552683,0.15606864887780458,0.14975938402309913
0.2527097381439124,0.2278447476486952,0.2518184968850053,0.24457268480351746
0.3516888499818447,0.343234683848422,0.3505310246205698,0.3502852287899017
0.4502182016787401,0.44093925472179685,0.4496385786760637,0.438592429679361
0.5498643892324667,0.5600605143721634,0.54967971740406,0.5410531012940651
0.6484101117237172,0.6617751479289941,0.6489317151670965,0.6537486417964505
0.7473953079820375,0.755629691409508,0.7467660906012863,0.7367201976528721
0.8439899282680862,0.8737233054781801,0.8476778364508579,0.8599283724631914
0.9124636421536996,0.9322033898305084,0.9173231051938335,0.9213973799126638
