feature,variant,mean,p50,p95,std
difficulty_filled,strict,4.742343333333333,5.0,8.0,1.8756766891237473
difficulty_filled,leaky,4.742343333333333,5.0,8.0,1.8756766891237473
attempt_no,strict,1.4250166666666666,1.0,3.0,0.7425569561020592
attempt_no,leaky,1.4250166666666666,1.0,3.0,0.7425569561020592
level,strict,0.6515838240710832,0.6717557311058044,0.9273504018783568,0.19348248738149032
level,leaky,0.6574258988824486,0.6697332262992859,0.9108391404151917,0.17487739504801034
perseverance,strict,0.8226974398750067,0.8145215511322021,1.0,0.11371275322401893
perseverance,leaky,0.8289182461810112,0.8177949786186218,1.0,0.10030282376894002
lang_match,strict,0.38261395005426135,0.3636363744735718,0.7910447716712952,0.23792815308104193
lang_match,leaky,0.38561945249883767,0.3642857074737549,0.7850877046585083,0.2294164221852839
tag_match,strict,0.1405634173162149,0.1345177590847015,0.25,0.06650849026700953
tag_match,leaky,0.13985361372794491,0.13500000536441803,0.24310776591300964,0.058337671793479304
