strategy,k,hit_at_k_all,precision_at_k_all,hit_at_k_active,precision_at_k_active,recall_at_k_ac_users,ndcg_at_k_ac_users,users_all,users_active,users_with_test_ac,growth_band,cutoff_submission_id,random_seed
easy_first,1,0.003,0.003,0.003,0.003,0.00010516015954157098,0.003003003003003003,1000,1000,999,"[0.4,0.7]",240000,42
easy_first,3,0.007,0.002333333333333333,0.007,0.002333333333333333,0.00017965706651217904,0.0024102464244927617,1000,1000,999,"[0.4,0.7]",240000,42
easy_first,5,0.007,0.0014,0.007,0.0014,0.00017965706651217904,0.0017419491376034035,1000,1000,999,"[0.4,0.7]",240000,42
easy_first,10,0.017,0.0017000000000000001,0.017,0.0017000000000000001,0.0005321092245198926,0.001851974396890419,1000,1000,999,"[0.4,0.7]",240000,42
model_growth,1,0.002,0.002,0.002,0.002,5.327456307848465e-05,0.002002002002002002,1000,1000,999,"[0.4,0.7]",240000,42
model_growth,3,0.016,0.005333333333333333,0.016,0.005333333333333333,0.000564891232312641,0.004719768686527232,1000,1000,999,"[0.4,0.7]",240000,42
model_growth,5,0.036,0.007600000000000002,0.036,0.007600000000000002,0.0013573547505549347,0.006374894105272917,1000,1000,999,"[0.4,0.7]",240000,42
model_growth,10,0.076,0.009399999999999999,0.076,0.009399999999999999,0.0032937624782007667,0.008202595643066388,1000,1000,999,"[0.4,0.7]",240000,42
model_maxprob,1,0.0,0.0,0.0,0.0,0.0,0.0,1000,1000,999,"[0.4,0.7]",240000,42
model_maxprob,3,0.002,0.0006666666666666666,0.002,0.0006666666666666666,4.563703488434672e-05,0.0004697484744972537,1000,1000,999,"[0.4,0.7]",240000,42
model_maxprob,5,0.004,0.0008,0.004,0.0008,0.00010377598191218263,0.0006319288337928218,1000,1000,999,"[0.4,0.7]",240000,42
model_maxprob,10,0.012,0.0012000000000000001,0.012,0.0012000000000000001,0.0004122076208927048,0.000977655638110214,1000,1000,999,"[0.4,0.7]",240000,42
popular_train,1,0.058,0.058,0.058,0.058,0.0020322760156891435,0.05805805805805806,1000,1000,999,"[0.4,0.7]",240000,42
popular_train,3,0.136,0.05333333333333333,0.136,0.05333333333333333,0.005475356029848306,0.05446229847654481,1000,1000,999,"[0.4,0.7]",240000,42
popular_train,5,0.205,0.0506,0.205,0.0506,0.008781220232633044,0.05232450056011453,1000,1000,999,"[0.4,0.7]",240000,42
popular_train,10,0.332,0.0504,0.332,0.0504,0.01777703281796196,0.05174716644881943,1000,1000,999,"[0.4,0.7]",240000,42
random,1,0.002,0.002,0.002,0.002,4.237041274078311e-05,0.002002002002002002,1000,1000,999,"[0.4,0.7]",240000,42
random,3,0.009,0.0029999999999999996,0.009,0.0029999999999999996,0.00023837878608805934,0.0027066247137478823,1000,1000,999,"[0.4,0.7]",240000,42
random,5,0.017,0.0036,0.017,0.0036,0.0006429111392419664,0.003212568080543771,1000,1000,999,"[0.4,0.7]",240000,42
random,10,0.033,0.0034000000000000002,0.033,0.0034000000000000002,0.0011069518335706846,0.0031765092605211404,1000,1000,999,"[0.4,0.7]",240000,42
